Expire Event: Point=(286, 357), Addr=4, PN=2, Time=119, DT=100
Expire Event: Point=(304, 357), Addr=190, PN=2, Time=147, DT=100
Expire Event: Point=(318, 357), Addr=10, PN=3, Time=174, DT=100
Expire Event: Point=(314, 357), Addr=67, PN=3, Time=175, DT=100
Expire Event: Point=(309, 357), Addr=24, PN=3, Time=176, DT=100
Expire Event: Point=(307, 357), Addr=181, PN=7, Time=180, DT=100
Expire Event: Point=(303, 357), Addr=199, PN=3, Time=181, DT=100
Expire Event: Point=(327, 357), Addr=151, PN=4, Time=203, DT=100
Expire Event: Point=(324, 357), Addr=120, PN=4, Time=204, DT=100
Expire Event: Point=(322, 357), Addr=85, PN=4, Time=205, DT=100
Expire Event: Point=(304, 358), Addr=183, PN=2, Time=211, DT=100
Expire Event: Point=(287, 358), Addr=177, PN=2, Time=215, DT=100
Expire Event: Point=(286, 358), Addr=208, PN=2, Time=216, DT=100
Expire Event: Point=(331, 357), Addr=13, PN=5, Time=233, DT=100
Expire Event: Point=(329, 357), Addr=230, PN=5, Time=234, DT=100
Expire Event: Point=(305, 358), Addr=66, PN=1, Time=243, DT=100
Expire Event: Point=(336, 357), Addr=154, PN=6, Time=262, DT=100
Expire Event: Point=(335, 357), Addr=31, PN=6, Time=263, DT=100
Expire Event: Point=(333, 357), Addr=128, PN=6, Time=264, DT=100
Expire Event: Point=(309, 358), Addr=204, PN=3, Time=272, DT=100
Expire Event: Point=(307, 358), Addr=222, PN=8, Time=274, DT=100
Expire Event: Point=(306, 358), Addr=145, PN=3, Time=276, DT=100
Expire Event: Point=(303, 358), Addr=162, PN=3, Time=277, DT=100
Expire Event: Point=(286, 359), Addr=214, PN=2, Time=279, DT=100
Expire Event: Point=(339, 357), Addr=164, PN=7, Time=292, DT=100
Expire Event: Point=(338, 357), Addr=89, PN=7, Time=293, DT=100
Expire Event: Point=(329, 358), Addr=170, PN=2, Time=298, DT=100
Expire Event: Point=(314, 358), Addr=175, PN=4, Time=303, DT=100
Expire Event: Point=(306, 359), Addr=112, PN=1, Time=308, DT=100
Expire Event: Point=(339, 358), Addr=194, PN=1, Time=324, DT=100
Expire Event: Point=(322, 358), Addr=129, PN=4, Time=333, DT=100
Expire Event: Point=(318, 358), Addr=70, PN=5, Time=334, DT=100
Expire Event: Point=(286, 360), Addr=10, PN=1, Time=342, DT=100
Expire Event: Point=(325, 358), Addr=220, PN=5, Time=364, DT=100
Expire Event: Point=(309, 359), Addr=202, PN=3, Time=368, DT=100
Expire Event: Point=(307, 359), Addr=147, PN=6, Time=370, DT=100
Expire Event: Point=(305, 359), Addr=141, PN=5, Time=371, DT=100
Expire Event: Point=(303, 359), Addr=241, PN=4, Time=373, DT=100
Expire Event: Point=(327, 358), Addr=123, PN=6, Time=395, DT=100
Expire Event: Point=(331, 358), Addr=55, PN=6, Time=425, DT=100
Expire Event: Point=(330, 358), Addr=72, PN=4, Time=426, DT=100
Expire Event: Point=(314, 359), Addr=85, PN=4, Time=431, DT=100
Expire Event: Point=(309, 360), Addr=15, PN=2, Time=432, DT=100
Expire Event: Point=(333, 358), Addr=121, PN=6, Time=456, DT=100
Expire Event: Point=(318, 359), Addr=184, PN=4, Time=462, DT=100
Expire Event: Point=(314, 360), Addr=163, PN=1, Time=463, DT=100
Expire Event: Point=(307, 360), Addr=148, PN=6, Time=466, DT=100
Expire Event: Point=(305, 360), Addr=57, PN=3, Time=467, DT=100
Expire Event: Point=(303, 360), Addr=39, PN=6, Time=469, DT=100
Expire Event: Point=(286, 361), Addr=11, PN=2, Time=470, DT=100
Expire Event: Point=(335, 358), Addr=52, PN=7, Time=487, DT=100
Expire Event: Point=(322, 359), Addr=155, PN=5, Time=493, DT=100
Expire Event: Point=(310, 360), Addr=128, PN=2, Time=496, DT=100
Expire Event: Point=(336, 358), Addr=91, PN=8, Time=518, DT=100
Expire Event: Point=(325, 359), Addr=218, PN=5, Time=524, DT=100
Expire Event: Point=(315, 360), Addr=115, PN=2, Time=527, DT=100
Expire Event: Point=(286, 362), Addr=178, PN=1, Time=534, DT=100
Expire Event: Point=(338, 358), Addr=255, PN=9, Time=549, DT=100
Expire Event: Point=(327, 359), Addr=240, PN=5, Time=555, DT=100
Expire Event: Point=(307, 361), Addr=69, PN=6, Time=562, DT=100
Expire Event: Point=(305, 361), Addr=94, PN=3, Time=563, DT=100
Expire Event: Point=(303, 361), Addr=190, PN=6, Time=565, DT=100
Expire Event: Point=(330, 359), Addr=78, PN=5, Time=586, DT=100
Expire Event: Point=(319, 360), Addr=250, PN=4, Time=590, DT=100
Expire Event: Point=(310, 361), Addr=113, PN=3, Time=592, DT=100
Expire Event: Point=(305, 362), Addr=145, PN=1, Time=595, DT=100
Expire Event: Point=(286, 363), Addr=175, PN=1, Time=598, DT=100
Expire Event: Point=(338, 359), Addr=198, PN=2, Time=613, DT=100
Expire Event: Point=(332, 359), Addr=229, PN=6, Time=617, DT=100
Expire Event: Point=(322, 360), Addr=200, PN=4, Time=621, DT=100
Expire Event: Point=(315, 361), Addr=205, PN=4, Time=655, DT=100
Expire Event: Point=(306, 362), Addr=108, PN=2, Time=659, DT=100
Expire Event: Point=(303, 362), Addr=114, PN=6, Time=661, DT=100
Expire Event: Point=(336, 359), Addr=47, PN=5, Time=677, DT=100
Expire Event: Point=(333, 359), Addr=53, PN=7, Time=679, DT=100
Expire Event: Point=(325, 360), Addr=36, PN=5, Time=683, DT=100
Expire Event: Point=(307, 362), Addr=60, PN=8, Time=689, DT=100
Expire Event: Point=(286, 364), Addr=24, PN=3, Time=695, DT=100
Expire Event: Point=(335, 359), Addr=135, PN=7, Time=709, DT=100
Expire Event: Point=(333, 360), Addr=172, PN=1, Time=710, DT=100
Expire Event: Point=(319, 361), Addr=142, PN=4, Time=716, DT=100
Expire Event: Point=(310, 362), Addr=40, PN=4, Time=718, DT=100
Expire Event: Point=(337, 359), Addr=159, PN=2, Time=740, DT=100
Expire Event: Point=(328, 360), Addr=207, PN=6, Time=745, DT=100
Expire Event: Point=(306, 363), Addr=13, PN=3, Time=753, DT=100
Expire Event: Point=(303, 363), Addr=38, PN=6, Time=755, DT=100
Expire Event: Point=(286, 365), Addr=251, PN=3, Time=758, DT=100
Expire Event: Point=(330, 360), Addr=253, PN=6, Time=776, DT=100
Expire Event: Point=(322, 361), Addr=158, PN=5, Time=779, DT=100
Expire Event: Point=(315, 362), Addr=180, PN=4, Time=781, DT=100
Expire Event: Point=(307, 363), Addr=90, PN=6, Time=784, DT=100
Expire Event: Point=(286, 366), Addr=116, PN=2, Time=790, DT=100
Expire Event: Point=(287, 366), Addr=46, PN=1, Time=822, DT=100
Expire Event: Point=(356, 357), Addr=201, PN=15, Time=834, DT=100
Expire Event: Point=(332, 360), Addr=81, PN=7, Time=838, DT=100
Expire Event: Point=(325, 361), Addr=213, PN=5, Time=841, DT=100
Expire Event: Point=(310, 363), Addr=203, PN=4, Time=845, DT=100
Expire Event: Point=(303, 364), Addr=115, PN=5, Time=850, DT=100
Expire Event: Point=(286, 367), Addr=99, PN=2, Time=853, DT=100
Expire Event: Point=(334, 360), Addr=49, PN=5, Time=868, DT=100
Expire Event: Point=(322, 362), Addr=82, PN=2, Time=873, DT=100
Expire Event: Point=(319, 362), Addr=66, PN=5, Time=874, DT=100
Expire Event: Point=(307, 364), Addr=164, PN=6, Time=878, DT=100
Expire Event: Point=(306, 364), Addr=182, PN=5, Time=879, DT=100
Expire Event: Point=(287, 367), Addr=208, PN=1, Time=884, DT=100
Expire Event: Point=(328, 361), Addr=193, PN=5, Time=903, DT=100
Expire Event: Point=(315, 363), Addr=167, PN=4, Time=907, DT=100
Expire Event: Point=(335, 360), Addr=204, PN=7, Time=931, DT=100
Expire Event: Point=(325, 362), Addr=161, PN=3, Time=936, DT=100
Expire Event: Point=(323, 362), Addr=30, PN=3, Time=937, DT=100
Expire Event: Point=(319, 363), Addr=22, PN=2, Time=938, DT=100
Expire Event: Point=(311, 364), Addr=34, PN=3, Time=940, DT=100
Expire Event: Point=(303, 365), Addr=100, PN=6, Time=945, DT=100
Expire Event: Point=(330, 361), Addr=33, PN=6, Time=966, DT=100
Expire Event: Point=(307, 365), Addr=107, PN=6, Time=974, DT=100
Expire Event: Point=(306, 365), Addr=72, PN=4, Time=976, DT=100
Expire Event: Point=(286, 368), Addr=102, PN=1, Time=978, DT=100
Expire Event: Point=(287, 368), Addr=173, PN=3, Time=980, DT=100
Expire Event: Point=(356, 357), Addr=195, PN=1, Time=990, DT=100
Expire Event: Point=(337, 360), Addr=104, PN=8, Time=991, DT=100
Expire Event: Point=(326, 362), Addr=17, PN=2, Time=997, DT=100
Expire Event: Point=(320, 363), Addr=151, PN=2, Time=999, DT=100
Expire Event: Point=(306, 366), Addr=18, PN=1, Time=1004, DT=100
Expire Event: Point=(332, 361), Addr=0, PN=6, Time=1024, DT=100
Expire Event: Point=(316, 364), Addr=147, PN=4, Time=1030, DT=100
Expire Event: Point=(303, 366), Addr=25, PN=5, Time=1036, DT=100
Expire Event: Point=(286, 369), Addr=103, PN=1, Time=1037, DT=100
Expire Event: Point=(287, 369), Addr=23, PN=2, Time=1039, DT=100
Expire Event: Point=(311, 365), Addr=220, PN=4, Time=1061, DT=100
Expire Event: Point=(307, 366), Addr=197, PN=8, Time=1064, DT=100
Expire Event: Point=(301, 367), Addr=159, PN=1, Time=1067, DT=100
Expire Event: Point=(335, 361), Addr=16, PN=5, Time=1082, DT=100
Expire Event: Point=(334, 361), Addr=237, PN=7, Time=1083, DT=100
Expire Event: Point=(328, 362), Addr=138, PN=6, Time=1086, DT=100
Expire Event: Point=(323, 363), Addr=74, PN=5, Time=1088, DT=100
Expire Event: Point=(286, 370), Addr=67, PN=1, Time=1097, DT=100
Expire Event: Point=(287, 370), Addr=244, PN=3, Time=1099, DT=100
Expire Event: Point=(330, 362), Addr=24, PN=5, Time=1116, DT=100
Expire Event: Point=(320, 364), Addr=218, PN=4, Time=1120, DT=100
Expire Event: Point=(303, 367), Addr=242, PN=6, Time=1127, DT=100
Expire Event: Point=(2, 425), Addr=150, PN=1, Time=1131, DT=100
Expire Event: Point=(337, 361), Addr=180, PN=5, Time=1143, DT=100
Expire Event: Point=(336, 361), Addr=64, PN=2, Time=1144, DT=100
Expire Event: Point=(331, 362), Addr=163, PN=1, Time=1147, DT=100
Expire Event: Point=(326, 363), Addr=221, PN=5, Time=1149, DT=100
Expire Event: Point=(316, 365), Addr=205, PN=4, Time=1152, DT=100
Expire Event: Point=(311, 366), Addr=129, PN=3, Time=1153, DT=100
Expire Event: Point=(307, 367), Addr=142, PN=9, Time=1156, DT=100
Expire Event: Point=(301, 368), Addr=172, PN=2, Time=1159, DT=100
Expire Event: Point=(286, 371), Addr=66, PN=1, Time=1160, DT=100
Expire Event: Point=(15, 424), Addr=111, PN=1, Time=1162, DT=100
Expire Event: Point=(328, 363), Addr=222, PN=3, Time=1178, DT=100
Expire Event: Point=(302, 368), Addr=51, PN=1, Time=1189, DT=100
Expire Event: Point=(287, 371), Addr=145, PN=3, Time=1191, DT=100
Expire Event: Point=(27, 424), Addr=8, PN=1, Time=1192, DT=100
