Voxel_X, Voxel_Y, Out_Idx
------------------------------
339, 357, 164
338, 357, 89
336, 357, 154
335, 357, 31
333, 357, 128
331, 357, 13
329, 357, 230
327, 357, 151
324, 357, 120
322, 357, 85
318, 357, 10
314, 357, 67
309, 357, 24
307, 357, 181
307, 357, 181
304, 357, 190
307, 357, 181
303, 357, 199
286, 357, 4
286, 357, 4
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 357, 164
338, 357, 89
336, 357, 154
335, 357, 31
333, 357, 128
331, 357, 13
329, 357, 230
327, 357, 151
324, 357, 120
322, 357, 85
318, 357, 10
314, 357, 67
309, 357, 24
307, 357, 181
307, 357, 181
304, 357, 190
307, 357, 181
303, 357, 199
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 357, 164
338, 357, 89
336, 357, 154
335, 357, 31
333, 357, 128
331, 357, 13
329, 357, 230
327, 357, 151
324, 357, 120
322, 357, 85
318, 357, 10
314, 357, 67
309, 357, 24
307, 358, 222
307, 358, 222
304, 358, 183
307, 357, 181
303, 357, 199
286, 358, 208
360, 357, 21
287, 358, 177
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 357, 164
338, 357, 89
336, 357, 154
335, 357, 31
333, 357, 128
331, 357, 13
329, 357, 230
327, 357, 151
324, 357, 120
322, 357, 85
318, 358, 70
314, 358, 175
309, 358, 204
307, 358, 222
307, 358, 222
304, 358, 183
306, 358, 145
303, 358, 162
360, 357, 21
287, 358, 177
286, 358, 208
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 357, 164
338, 357, 89
336, 357, 154
335, 357, 31
333, 357, 128
331, 357, 13
329, 357, 230
327, 358, 123
325, 358, 220
322, 358, 129
318, 358, 70
314, 358, 175
309, 358, 204
307, 358, 222
307, 358, 222
305, 358, 66
306, 358, 145
303, 358, 162
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 357, 164
338, 357, 89
336, 357, 154
335, 357, 31
333, 357, 128
331, 358, 55
329, 358, 170
327, 358, 123
325, 358, 220
322, 358, 129
318, 358, 70
314, 358, 175
309, 358, 204
307, 358, 222
307, 358, 222
305, 359, 141
306, 358, 145
303, 358, 162
286, 359, 214
286, 359, 214
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 357, 164
338, 357, 89
336, 358, 91
335, 358, 52
333, 358, 121
331, 358, 55
329, 358, 170
327, 358, 123
325, 358, 220
322, 358, 129
318, 358, 70
314, 358, 175
309, 359, 202
307, 359, 147
307, 359, 147
305, 359, 141
306, 359, 112
303, 359, 241
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 358, 194
338, 358, 255
336, 358, 91
335, 358, 52
333, 358, 121
331, 358, 55
330, 358, 72
327, 358, 123
325, 358, 220
322, 358, 129
318, 358, 70
314, 359, 85
309, 359, 202
307, 359, 147
307, 359, 147
305, 359, 141
305, 359, 141
303, 359, 241
286, 360, 10
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
338, 358, 255
338, 358, 255
336, 358, 91
335, 358, 52
333, 358, 121
331, 358, 55
330, 358, 72
327, 358, 123
325, 358, 220
322, 359, 155
318, 359, 184
314, 359, 85
309, 359, 202
307, 359, 147
307, 359, 147
305, 359, 141
303, 359, 241
303, 359, 241
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
