Voxel_X, Voxel_Y, Out_Idx
339, 357, 164
338, 357, 89
336, 357, 154
335, 357, 31
333, 357, 128
331, 357, 13
329, 357, 230
327, 357, 151
324, 357, 120
322, 357, 85
318, 357, 10
314, 357, 67
309, 357, 24
307, 357, 181
307, 357, 181
304, 357, 190
307, 357, 181
303, 357, 199
286, 357, 4
286, 357, 4
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 357, 164
338, 357, 89
336, 357, 154
335, 357, 31
333, 357, 128
331, 357, 13
329, 357, 230
327, 357, 151
324, 357, 120
322, 357, 85
318, 357, 10
314, 357, 67
309, 357, 24
307, 357, 181
307, 357, 181
304, 357, 190
307, 357, 181
303, 357, 199
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 357, 164
338, 357, 89
336, 357, 154
335, 357, 31
333, 357, 128
331, 357, 13
329, 357, 230
327, 357, 151
324, 357, 120
322, 357, 85
318, 357, 10
314, 357, 67
309, 357, 24
307, 358, 222
307, 358, 222
304, 358, 183
307, 357, 181
303, 357, 199
286, 358, 208
360, 357, 21
287, 358, 177
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 357, 164
338, 357, 89
336, 357, 154
335, 357, 31
333, 357, 128
331, 357, 13
329, 357, 230
327, 357, 151
325, 357, 34
322, 357, 85
318, 358, 107
314, 358, 184
309, 358, 133
307, 358, 222
307, 358, 222
304, 358, 183
306, 358, 142
303, 358, 43
360, 357, 21
287, 358, 177
287, 358, 177
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 357, 164
338, 357, 89
336, 357, 154
335, 357, 31
333, 357, 128
331, 357, 13
329, 357, 230
327, 358, 188
325, 358, 241
322, 358, 130
318, 358, 107
314, 358, 184
309, 358, 133
307, 358, 222
307, 358, 222
305, 358, 71
306, 358, 142
303, 358, 43
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 357, 164
338, 357, 89
336, 357, 154
335, 357, 31
333, 357, 128
331, 358, 248
330, 358, 5
327, 358, 188
325, 358, 241
322, 358, 130
318, 358, 107
314, 358, 184
309, 358, 133
307, 358, 222
307, 358, 222
305, 359, 246
306, 358, 142
303, 358, 43
286, 359, 3
287, 359, 76
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 357, 164
338, 357, 89
336, 358, 109
335, 358, 134
333, 358, 95
331, 358, 248
330, 358, 5
327, 358, 188
325, 358, 241
322, 358, 130
318, 358, 107
314, 358, 184
309, 359, 201
307, 359, 45
307, 359, 45
305, 359, 246
306, 359, 58
303, 359, 92
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 358, 112
338, 358, 141
336, 358, 109
335, 358, 134
333, 358, 95
331, 358, 248
330, 358, 5
327, 358, 188
325, 358, 241
322, 358, 130
318, 359, 242
314, 359, 219
309, 359, 201
307, 359, 45
307, 359, 45
305, 359, 246
305, 359, 246
303, 359, 92
286, 360, 40
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
339, 358, 112
338, 358, 141
336, 358, 109
335, 358, 134
333, 358, 95
331, 358, 248
330, 358, 5
327, 358, 188
325, 358, 241
322, 359, 205
318, 359, 242
314, 359, 219
309, 359, 201
307, 359, 45
307, 359, 45
305, 360, 42
303, 359, 92
303, 359, 92
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
356, 357, 195
338, 358, 141
336, 358, 109
335, 358, 134
333, 358, 95
331, 358, 248
330, 358, 5
327, 358, 188
325, 359, 144
322, 359, 205
318, 359, 242
314, 359, 219
309, 360, 125
307, 360, 182
307, 360, 182
305, 360, 42
303, 360, 39
303, 360, 39
286, 361, 244
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
356, 357, 195
338, 358, 141
336, 358, 109
335, 358, 134
333, 358, 95
331, 358, 248
330, 359, 73
327, 359, 186
325, 359, 144
322, 359, 205
319, 359, 79
315, 359, 168
309, 360, 125
307, 360, 182
307, 360, 182
305, 360, 42
303, 360, 39
303, 360, 39
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
356, 357, 195
338, 358, 141
336, 358, 109
335, 358, 134
333, 358, 95
332, 359, 229
330, 359, 73
327, 359, 186
325, 359, 144
322, 359, 205
318, 359, 242
315, 360, 62
310, 360, 31
307, 360, 182
307, 360, 182
305, 360, 42
303, 360, 39
303, 360, 39
286, 361, 244
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
356, 357, 195
338, 358, 141
336, 358, 109
335, 358, 134
333, 359, 24
332, 359, 229
330, 359, 73
327, 359, 186
325, 359, 144
322, 359, 205
319, 360, 85
315, 360, 62
310, 360, 31
307, 361, 194
307, 361, 194
305, 361, 59
303, 361, 52
303, 361, 52
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
356, 357, 195
338, 358, 141
336, 358, 109
335, 359, 213
333, 359, 24
332, 359, 229
330, 359, 73
327, 359, 186
325, 359, 144
322, 360, 234
319, 360, 85
315, 360, 62
310, 361, 111
307, 361, 194
307, 361, 194
305, 361, 59
303, 361, 52
303, 361, 52
286, 362, 128
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
356, 357, 195
338, 359, 193
336, 359, 98
335, 359, 213
333, 359, 24
332, 359, 229
330, 359, 73
327, 359, 186
325, 360, 215
322, 360, 234
319, 360, 85
315, 360, 62
310, 361, 111
307, 361, 194
307, 361, 194
305, 361, 59
303, 361, 52
303, 361, 52
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
357, 357, 57
338, 359, 193
336, 359, 98
335, 359, 213
333, 359, 24
332, 359, 229
330, 359, 73
328, 360, 29
325, 360, 215
322, 360, 234
319, 360, 85
315, 361, 74
310, 361, 111
307, 362, 115
307, 362, 115
305, 362, 160
303, 362, 237
303, 362, 237
286, 363, 230
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
357, 357, 57
338, 359, 193
336, 359, 98
335, 359, 213
333, 359, 24
332, 359, 229
330, 360, 107
328, 360, 29
325, 360, 215
322, 360, 234
319, 361, 4
315, 361, 74
310, 362, 5
307, 362, 115
307, 362, 115
306, 362, 94
303, 362, 237
303, 362, 237
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
360, 357, 21
