Expire Event: Point=(286, 357), Addr=4, PN=2, Time=119, DT=100, HashLoad=27/256, TableLoads=[6, 7, 7, 7]
Expire Event: Point=(304, 357), Addr=190, PN=2, Time=147, DT=100, HashLoad=30/256, TableLoads=[7, 8, 7, 8]
Expire Event: Point=(324, 357), Addr=120, PN=3, Time=172, DT=100, HashLoad=31/256, TableLoads=[7, 9, 7, 8]
Expire Event: Point=(318, 357), Addr=10, PN=3, Time=174, DT=100, HashLoad=30/256, TableLoads=[7, 9, 6, 8]
Expire Event: Point=(314, 357), Addr=67, PN=3, Time=175, DT=100, HashLoad=30/256, TableLoads=[7, 9, 7, 7]
Expire Event: Point=(309, 357), Addr=24, PN=3, Time=176, DT=100, HashLoad=29/256, TableLoads=[6, 9, 7, 7]
Expire Event: Point=(307, 357), Addr=181, PN=7, Time=180, DT=100, HashLoad=30/256, TableLoads=[7, 8, 7, 8]
Expire Event: Point=(303, 357), Addr=199, PN=3, Time=181, DT=100, HashLoad=29/256, TableLoads=[7, 8, 7, 7]
Expire Event: Point=(286, 358), Addr=208, PN=1, Time=182, DT=100, HashLoad=28/256, TableLoads=[6, 8, 7, 7]
Expire Event: Point=(327, 357), Addr=151, PN=4, Time=203, DT=100, HashLoad=30/256, TableLoads=[6, 9, 8, 7]
Expire Event: Point=(325, 357), Addr=34, PN=1, Time=204, DT=100, HashLoad=30/256, TableLoads=[6, 10, 7, 7]
Expire Event: Point=(322, 357), Addr=85, PN=4, Time=205, DT=100, HashLoad=30/256, TableLoads=[6, 10, 7, 7]
Expire Event: Point=(304, 358), Addr=183, PN=2, Time=211, DT=100, HashLoad=31/256, TableLoads=[7, 10, 8, 6]
Expire Event: Point=(287, 358), Addr=177, PN=3, Time=216, DT=100, HashLoad=30/256, TableLoads=[7, 9, 8, 6]
Expire Event: Point=(331, 357), Addr=13, PN=5, Time=233, DT=100, HashLoad=31/256, TableLoads=[8, 9, 8, 6]
Expire Event: Point=(329, 357), Addr=230, PN=5, Time=234, DT=100, HashLoad=31/256, TableLoads=[8, 9, 8, 6]
Expire Event: Point=(305, 358), Addr=71, PN=1, Time=243, DT=100, HashLoad=32/256, TableLoads=[9, 9, 8, 6]
Expire Event: Point=(336, 357), Addr=154, PN=6, Time=262, DT=100, HashLoad=31/256, TableLoads=[9, 9, 7, 6]
Expire Event: Point=(335, 357), Addr=31, PN=6, Time=263, DT=100, HashLoad=30/256, TableLoads=[9, 9, 7, 5]
Expire Event: Point=(333, 357), Addr=128, PN=6, Time=264, DT=100, HashLoad=29/256, TableLoads=[8, 9, 7, 5]
Expire Event: Point=(309, 358), Addr=133, PN=3, Time=272, DT=100, HashLoad=30/256, TableLoads=[8, 9, 8, 5]
Expire Event: Point=(307, 358), Addr=222, PN=8, Time=274, DT=100, HashLoad=29/256, TableLoads=[8, 9, 7, 5]
Expire Event: Point=(306, 358), Addr=142, PN=3, Time=276, DT=100, HashLoad=28/256, TableLoads=[8, 9, 6, 5]
Expire Event: Point=(303, 358), Addr=43, PN=3, Time=277, DT=100, HashLoad=27/256, TableLoads=[8, 9, 6, 4]
Expire Event: Point=(286, 359), Addr=3, PN=1, Time=278, DT=100, HashLoad=26/256, TableLoads=[8, 9, 6, 3]
Expire Event: Point=(287, 359), Addr=76, PN=1, Time=279, DT=100, HashLoad=25/256, TableLoads=[7, 9, 6, 3]
Expire Event: Point=(339, 357), Addr=164, PN=7, Time=292, DT=100, HashLoad=25/256, TableLoads=[6, 9, 6, 4]
Expire Event: Point=(338, 357), Addr=89, PN=7, Time=293, DT=100, HashLoad=24/256, TableLoads=[6, 8, 6, 4]
Expire Event: Point=(318, 358), Addr=107, PN=4, Time=302, DT=100, HashLoad=26/256, TableLoads=[7, 9, 7, 3]
Expire Event: Point=(314, 358), Addr=184, PN=4, Time=303, DT=100, HashLoad=25/256, TableLoads=[6, 9, 7, 3]
Expire Event: Point=(306, 359), Addr=58, PN=1, Time=308, DT=100, HashLoad=26/256, TableLoads=[7, 9, 6, 4]
Expire Event: Point=(322, 358), Addr=130, PN=4, Time=333, DT=100, HashLoad=29/256, TableLoads=[8, 10, 6, 5]
Expire Event: Point=(305, 359), Addr=246, PN=4, Time=340, DT=100, HashLoad=28/256, TableLoads=[8, 10, 5, 5]
Expire Event: Point=(286, 360), Addr=40, PN=1, Time=342, DT=100, HashLoad=27/256, TableLoads=[7, 10, 5, 5]
Expire Event: Point=(339, 358), Addr=112, PN=2, Time=356, DT=100, HashLoad=26/256, TableLoads=[6, 10, 5, 5]
Expire Event: Point=(325, 358), Addr=241, PN=5, Time=364, DT=100, HashLoad=28/256, TableLoads=[6, 10, 6, 6]
Expire Event: Point=(309, 359), Addr=201, PN=3, Time=368, DT=100, HashLoad=27/256, TableLoads=[6, 9, 6, 6]
Expire Event: Point=(307, 359), Addr=45, PN=6, Time=370, DT=100, HashLoad=26/256, TableLoads=[6, 8, 6, 6]
Expire Event: Point=(303, 359), Addr=92, PN=4, Time=373, DT=100, HashLoad=25/256, TableLoads=[5, 8, 6, 6]
Expire Event: Point=(330, 358), Addr=5, PN=5, Time=394, DT=100, HashLoad=26/256, TableLoads=[6, 8, 6, 6]
Expire Event: Point=(327, 358), Addr=188, PN=6, Time=395, DT=100, HashLoad=25/256, TableLoads=[5, 8, 6, 6]
Expire Event: Point=(314, 359), Addr=219, PN=3, Time=399, DT=100, HashLoad=26/256, TableLoads=[5, 8, 7, 6]
Expire Event: Point=(331, 358), Addr=248, PN=6, Time=425, DT=100, HashLoad=28/256, TableLoads=[5, 9, 8, 6]
Expire Event: Point=(319, 359), Addr=79, PN=1, Time=430, DT=100, HashLoad=28/256, TableLoads=[5, 9, 8, 6]
Expire Event: Point=(315, 359), Addr=168, PN=1, Time=431, DT=100, HashLoad=27/256, TableLoads=[4, 9, 8, 6]
Expire Event: Point=(309, 360), Addr=125, PN=2, Time=432, DT=100, HashLoad=26/256, TableLoads=[4, 8, 8, 6]
Expire Event: Point=(333, 358), Addr=95, PN=6, Time=456, DT=100, HashLoad=29/256, TableLoads=[5, 9, 9, 6]
Expire Event: Point=(318, 359), Addr=242, PN=4, Time=462, DT=100, HashLoad=28/256, TableLoads=[5, 9, 8, 6]
Expire Event: Point=(307, 360), Addr=182, PN=6, Time=466, DT=100, HashLoad=27/256, TableLoads=[5, 9, 7, 6]
Expire Event: Point=(305, 360), Addr=42, PN=4, Time=467, DT=100, HashLoad=26/256, TableLoads=[5, 9, 6, 6]
Expire Event: Point=(303, 360), Addr=39, PN=6, Time=469, DT=100, HashLoad=25/256, TableLoads=[5, 9, 6, 5]
Expire Event: Point=(286, 361), Addr=244, PN=2, Time=470, DT=100, HashLoad=24/256, TableLoads=[4, 9, 6, 5]
Expire Event: Point=(335, 358), Addr=134, PN=7, Time=487, DT=100, HashLoad=25/256, TableLoads=[4, 11, 5, 5]
Expire Event: Point=(322, 359), Addr=205, PN=5, Time=493, DT=100, HashLoad=26/256, TableLoads=[4, 10, 6, 6]
Expire Event: Point=(310, 360), Addr=31, PN=2, Time=496, DT=100, HashLoad=27/256, TableLoads=[5, 11, 6, 5]
Expire Event: Point=(338, 358), Addr=141, PN=7, Time=517, DT=100, HashLoad=27/256, TableLoads=[5, 10, 7, 5]
Expire Event: Point=(336, 358), Addr=109, PN=8, Time=518, DT=100, HashLoad=27/256, TableLoads=[5, 9, 7, 6]
